time,distance
1461395960.4739592,0
1461395960.5324235,0
1461395960.5907726,0
1461395960.649063,0
1461395960.7106633,0
1461395960.7688272,0
1461395960.827029,0
1461395960.8852587,0
1461395960.943526,0
1461395961.0017781,0
1461395961.0601206,0
1461395961.118342,0
1461395961.1765614,0
1461395961.2348099,0
1461395961.2931912,0
1461395961.3515754,0
1461395961.4133396,0
1461395961.4718077,0
1461395961.5299492,0
1461395961.5881214,0
1461395961.6461468,0
1461395961.704162,0
1461395961.762176,0
1461395961.820264,0
1461395961.8782902,0
1461395961.9364781,0
1461395961.9944224,0
1461395962.052643,0
1461395962.110073,0
1461395962.1680584,0
1461395962.2290907,0
1461395962.286939,0
1461395962.3476624,0
1461395962.4090655,0
1461395962.4672413,0
1461395962.5253072,0
1461395962.5834243,0
1461395962.6414473,0
1461395962.6994507,0
1461395962.7573857,0
1461395962.8158145,0
1461395962.873822,0
1461395962.9319606,0
1461395962.9900765,0
1461395963.0514958,0
1461395963.109474,0
1461395963.1678572,0
1461395963.2294495,0
1461395963.2874427,0
1461395963.3457658,0
1461395963.403808,0
1461395963.4619086,0
1461395963.5199516,0
1461395963.5780375,0
1461395963.636264,0
1461395963.694298,0
1461395963.7522583,0
1461395963.8101652,0
1461395963.8682904,0
1461395963.9263551,0
1461395963.9844456,0
1461395964.0424259,0
1461395964.1004775,0
1461395964.1585135,0
1461395964.2166417,0
1461395964.2780957,0
1461395964.3362093,0
1461395964.3943489,0
1461395964.4525094,0
1461395964.5107033,0
1461395964.5688553,0
1461395964.6268883,0
1461395964.6891556,0
1461395964.747779,0
1461395964.8062727,0
1461395964.8682919,0
1461395964.926989,0
1461395964.9856632,0
1461395965.0444665,0
1461395965.1031392,0
1461395965.1616058,0
1461395965.2201889,0
1461395965.2821712,0
1461395965.3408227,0
1461395965.3993456,0
1461395965.4570687,0
1461395965.516044,0
1461395965.574569,0
1461395965.63308,0
1461395965.6916034,0
1461395965.750117,0
1461395965.8086643,0
1461395965.8670552,0
1461395965.925485,0
1461395965.9833431,0
1461395966.0418649,0
1461395966.1002915,0
1461395966.1586425,0
1461395966.2172952,0
1461395966.2757192,0
1461395966.3341074,0
1461395966.3925831,0
1461395966.4514923,0
1461395966.509988,0
1461395966.5677664,0
1461395966.6250172,0
1461395966.6835456,0
1461395966.7420952,0
1461395966.8005655,0
1461395966.8592658,0
1461395966.9177752,0
1461395966.9755669,0
1461395967.0340014,0
1461395967.092418,0
1461395967.1513062,0
1461395967.2101202,0
1461395967.267961,0
1461395967.3265243,0
1461395967.3884547,0
1461395967.446888,0
1461395967.5053904,0
1461395967.5632825,0
1461395967.6216185,0
1461395967.680025,0
1461395967.7376592,0
1461395967.7960432,0
1461395967.8579383,0
1461395967.915455,0
1461395967.9738963,0
1461395968.0318174,0
1461395968.0902836,0
1461395968.148751,0
1461395968.2071974,0
1461395968.2656505,0
1461395968.3245726,0
1461395968.383135,0
1461395968.4416873,0
1461395968.4994636,0
1461395968.5579023,0
1461395968.6156187,0
1461395968.6739635,0
1461395968.7324789,0
1461395968.7910662,0
1461395968.8530805,0
1461395968.9115667,0
1461395968.9690535,0
1461395969.0275526,0
