time,distance
1461395414.5825925,0
1461395414.6509767,0
1461395414.709004,0
1461395414.7671506,0
1461395414.8253312,0
1461395414.8834336,0
1461395414.9417055,0
1461395415.002569,0
1461395415.0605454,0
1461395415.118494,0
1461395415.176459,0
1461395415.2344606,0
1461395415.2926457,0
1461395415.3506606,0
1461395415.412096,0
1461395415.4703617,0
1461395415.528365,0
1461395415.5863807,0
1461395415.6443927,0
1461395415.7025077,0
1461395415.759827,0
1461395415.8178701,0
1461395415.8758948,0
1461395415.9339557,0
1461395415.9922037,0
1461395416.0502162,0
1461395416.108342,0
1461395416.1662798,0
1461395416.224337,0
1461395416.282271,0
1461395416.3402307,0
1461395416.3982224,0
1461395416.4595835,0
1461395416.5176072,0
1461395416.5756834,0
1461395416.6336064,0
1461395416.691535,0
1461395416.749782,0
1461395416.8077843,0
1461395416.8691437,0
1461395416.9270933,0
1461395416.9850745,0
1461395417.0431247,0
1461395417.10112,0
1461395417.1591442,0
1461395417.220035,0
1461395417.277278,0
1461395417.335274,0
1461395417.393301,0
1461395417.4512646,0
1461395417.5092218,0
1461395417.5673006,0
1461395417.6253412,0
1461395417.6832824,0
1461395417.7412162,0
1461395417.799289,0
1461395417.8572788,0
1461395417.915231,0
1461395417.9735084,0
1461395418.0316803,0
1461395418.089739,0
1461395418.1479204,0
1461395418.2052622,0
1461395418.263325,0
1461395418.3212821,0
1461395418.379227,0
1461395418.437162,0
1461395418.4952197,0
1461395418.5532577,0
1461395418.6112797,0
1461395418.6693435,0
1461395418.7266808,0
1461395418.78476,0
1461395418.8428936,0
1461395418.900958,0
1461395418.9589145,0
1461395419.0176709,0
1461395419.075766,0
1461395419.1338325,0
1461395419.1919227,0
1461395419.2492566,0
1461395419.3072703,0
1461395419.3652623,0
1461395419.4233499,0
1461395419.4814715,0
1461395419.539628,0
1461395419.597639,0
1461395419.6557379,0
1461395419.7137363,0
1461395419.7716546,0
1461395419.8296833,0
1461395419.887696,0
1461395419.9457564,0
1461395420.0038228,0
1461395420.0622418,0
1461395420.1236577,0
1461395420.1815734,0
1461395420.2395074,0
1461395420.297518,0
1461395420.3554718,0
1461395420.4135036,0
1461395420.4716187,0
1461395420.5329711,0
1461395420.5909784,0
1461395420.6489966,0
1461395420.7069993,0
1461395420.7650528,0
1461395420.8231483,0
1461395420.8812037,0
1461395420.9426963,0
1461395421.0007465,0
1461395421.0587997,0
1461395421.116798,0
1461395421.1748552,0
1461395421.2330747,0
1461395421.2911656,0
1461395421.3524988,0
1461395421.4105635,0
1461395421.46862,0
1461395421.5270202,0
1461395421.5850282,0
1461395421.643055,0
1461395421.7009964,0
1461395421.7618556,0
1461395421.819853,0
1461395421.8779197,0
1461395421.9359617,0
1461395421.9941423,0
1461395422.052222,0
1461395422.1102455,0
1461395422.1715984,0
1461395422.229654,0
1461395422.2876608,0
1461395422.345815,0
1461395422.4038248,0
1461395422.4619806,0
1461395422.5201588,0
1461395422.58167,0
1461395422.639662,0
1461395422.6979525,0
1461395422.755968,0
1461395422.813413,0
1461395422.871444,0
1461395422.9295013,0
1461395422.9851205,0
1461395423.043161,0
1461395423.1012073,0
1461395423.1592226,0
1461395423.2167013,0
1461395423.2746618,0
1461395423.3326516,0
1461395423.3908875,0
1461395423.448875,0
1461395423.506911,0
1461395423.5648823,0
1461395423.6229007,0
1461395423.6810045,0
1461395423.7390172,0
1461395423.7969618,0
1461395423.8548996,0
1461395423.9129555,0
1461395423.9709148,0
1461395424.0289345,0
1461395424.0869029,0
1461395424.144874,0
1461395424.202966,0
1461395424.2609756,0
1461395424.322468,0
1461395424.3799524,0
1461395424.437883,0
1461395424.4960127,0
1461395424.5534353,0
1461395424.6113677,0
1461395424.6693354,0
1461395424.7306638,0
1461395424.78867,0
1461395424.8468087,0
1461395424.9050019,0
1461395424.9631193,0
1461395425.021087,0
1461395425.0791802,0
1461395425.1371963,0
1461395425.1951544,0
1461395425.2532659,0
1461395425.3112175,0
1461395425.3690917,0
1461395425.427082,0
1461395425.4851983,0
1461395425.5432909,0
1461395425.6012414,0
1461395425.659293,0
1461395425.717245,0
1461395425.7752314,0
1461395425.8332896,0
1461395425.8912928,0
