time,distance
1461396432.658951,0
1461396432.7166898,0
1461396432.7751133,0
1461396432.8334885,0
1461396432.8917902,0
1461396432.9499238,0
1461396433.0083485,0
1461396433.0665925,0
1461396433.1247385,0
1461396433.183159,0
1461396433.2415078,0
1461396433.2996478,0
1461396433.35791,0
1461396433.4164956,0
1461396433.4780576,0
1461396433.536321,0
1461396433.5945222,0
1461396433.6519673,0
1461396433.7102761,0
1461396433.771841,0
1461396433.8298736,0
1461396433.8879774,0
1461396433.9460864,0
1461396434.0045605,0
1461396434.0626493,0
1461396434.1200187,0
1461396434.1783018,0
1461396434.2364028,0
1461396434.2951496,0
1461396434.3532083,0
1461396434.4114358,0
1461396434.469353,0
1461396434.527584,0
1461396434.5857685,0
1461396434.643865,0
1461396434.7052727,0
1461396434.7635324,0
1461396434.8214633,0
1461396434.8795428,0
1461396434.937576,0
1461396434.9956748,0
1461396435.0537374,0
1461396435.1151173,0
1461396435.17332,0
1461396435.2313776,0
1461396435.289355,0
1461396435.3476458,0
1461396435.4057024,0
1461396435.4636195,0
1461396435.5219634,0
1461396435.5802202,0
1461396435.638327,0
1461396435.6965227,0
1461396435.75465,0
1461396435.8125403,0
1461396435.8705525,0
1461396435.9319272,0
1461396435.989926,0
1461396436.0477984,0
1461396436.1058435,0
1461396436.1637542,0
1461396436.2216377,0
1461396436.2795384,0
1461396436.3366704,0
1461396436.3945682,0
1461396436.4526274,0
1461396436.5108721,0
1461396436.568942,0
1461396436.6269753,0
1461396436.6850429,0
1461396436.7431095,0
1461396436.8013132,0
1461396436.859494,0
1461396436.917573,0
1461396436.9756308,0
1461396437.032823,0
1461396437.0902226,0
1461396437.1484554,0
1461396437.2065473,0
1461396437.264747,0
1461396437.3231583,0
1461396437.3814132,0
1461396437.4393961,0
1461396437.4973872,0
1461396437.5555997,0
1461396437.6131067,0
1461396437.6745064,0
1461396437.7325587,0
1461396437.7905524,0
1461396437.8489964,0
1461396437.9072192,0
1461396437.9652038,0
1461396438.0232162,0
1461396438.0846417,0
1461396438.1426578,0
1461396438.200883,0
1461396438.2589266,0
1461396438.3169987,0
1461396438.3752077,0
1461396438.4333417,0
1461396438.4948044,0
1461396438.55282,0
1461396438.6107748,0
1461396438.6689296,0
1461396438.7269862,0
1461396438.7850757,0
1461396438.8431056,0
1461396438.9045086,0
1461396438.9625976,0
1461396439.0206501,0
1461396439.078926,0
1461396439.1369157,0
1461396439.1949139,0
1461396439.2529135,0
1461396439.3143828,0
1461396439.3723853,0
1461396439.4297514,0
1461396439.4878368,0
1461396439.5459921,0
1461396439.6048918,0
1461396439.6626446,0
1461396439.721252,0
1461396439.779077,0
1461396439.8375657,0
1461396439.8960524,0
1461396439.9547575,0
1461396440.0132298,0
1461396440.0716999,0
1461396440.130164,0
1461396440.1886384,0
1461396440.2499678,0
1461396440.3089314,0
1461396440.367509,0
1461396440.426117,0
1461396440.4844298,0
1461396440.5428348,0
1461396440.6007586,0
1461396440.6592805,0
1461396440.7177188,0
1461396440.7762332,0
1461396440.8339922,0
1461396440.892372,0
1461396440.9508536,0
1461396441.0092256,0
1461396441.067697,0
1461396441.1261804,0
1461396441.18456,0
1461396441.2430294,0
1461396441.3014338,0
1461396441.3598537,0
1461396441.418249,0
1461396441.4767766,0
1461396441.5355978,0
1461396441.5943313,0
1461396441.6528716,0
1461396441.7113612,0
1461396441.7698102,0
1461396441.8282416,0
1461396441.8868759,0
1461396441.945357,0
1461396442.0038817,0
1461396442.0624135,0
1461396442.1209033,0
1461396442.1795974,0
1461396442.2380452,0
1461396442.296767,0
1461396442.3551202,0
1461396442.413513,0
1461396442.4718153,0
1461396442.530219,0
1461396442.5886552,0
1461396442.6470542,0
1461396442.7054698,0
1461396442.763891,0
1461396442.822334,0
1461396442.880863,0
1461396442.9428325,0
1461396443.0012934,0
1461396443.0597327,0
1461396443.118183,0
1461396443.1766167,0
1461396443.2351415,0
1461396443.2935739,0
1461396443.3513165,0
1461396443.409115,0
1461396443.4674795,0
1461396443.5260353,0
1461396443.5844328,0
1461396443.642293,0
1461396443.7007892,0
1461396443.7594402,0
1461396443.81781,0
1461396443.8761582,0
1461396443.9340076,0
1461396443.9927168,0
1461396444.0502849,0
1461396444.108703,0
1461396444.1704485,0
1461396444.229094,0
1461396444.287514,0
1461396444.3462396,0
1461396444.4047592,0
